timestamp,emotion,pulse,Temperature,blinks,gesture,posture,head movement,faces,pupils
04/09/2024 14:19:47,6 Comptent,86,37.16,0,None,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:47,6 Comptent,74,37.04,0,None,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:47,6 Comptent,63,36.93,0,None,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:47,6 Comptent,57,36.87,0,None,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:48,3 Angry,50,36.8,0,None,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:48,6 Comptent,69,36.99,0,None,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:48,4 disgust,62,36.92,0,None,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:48,3 Angry,57,36.87,0,None,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:49,6 Comptent,52,36.82,0,None,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:49,3 Angry,49,36.79,0,None,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:49,6 Comptent,61,36.91,0,None,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:49,6 Comptent,57,36.87,0,None,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:50,6 Comptent,54,36.84,0,None,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:50,6 Comptent,51,36.81,0,None,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:50,4 disgust,48,36.78,0,None,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:50,6 Comptent,57,36.87,0,None,Sit,affirmative,2,['No Eyes Detected']
04/09/2024 14:19:51,3 Angry,54,36.84,1,None,Sit,affirmative,2,['No Eyes Detected']
04/09/2024 14:19:51,4 disgust,52,36.82,1,None,Sit,affirmative,2,['No Eyes Detected']
04/09/2024 14:19:51,3 Angry,50,36.8,1,Open Hand,Sit,affirmative,2,['No Eyes Detected']
04/09/2024 14:19:51,3 Angry,48,36.78,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:52,3 Angry,55,36.85,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:52,3 Angry,53,36.83,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:52,3 Angry,51,36.81,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:52,3 Angry,50,36.8,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:53,3 Angry,48,36.78,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:53,3 Angry,54,36.84,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:53,3 Angry,53,36.83,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:53,3 Angry,51,36.81,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:54,3 Angry,50,36.8,1,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:54,3 Angry,48,36.78,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:54,3 Angry,53,36.83,1,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:54,3 Angry,52,36.82,1,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:55,3 Angry,51,36.81,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:55,6 Comptent,50,36.8,1,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:55,3 Angry,48,36.78,1,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:55,4 disgust,53,36.83,1,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:55,3 Angry,52,36.82,1,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:56,3 Angry,51,36.81,1,Open Hand,Sit,affirmative,2,['No Face Detected']
04/09/2024 14:19:56,6 Comptent,50,36.8,2,Open Hand,Sit,affirmative,2,['No Face Detected']
04/09/2024 14:19:56,6 Comptent,49,36.79,2,Open Hand,Sit,affirmative,2,['No Eyes Detected']
04/09/2024 14:19:56,6 Comptent,48,36.78,2,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:57,6 Comptent,52,36.82,2,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:57,6 Comptent,51,36.81,2,Open Hand,Sit,affirmative,1,['No Face Detected']
04/09/2024 14:19:57,3 Angry,49,36.79,2,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:58,3 Angry,48,36.78,2,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:58,3 Angry,52,36.82,2,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:58,3 Angry,51,36.81,2,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:58,6 Comptent,50,36.8,2,Open Hand,Sit,affirmative,2,['No Eyes Detected']
04/09/2024 14:19:58,3 Angry,49,36.79,3,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:59,3 Angry,48,36.78,3,Thumbs Up,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:59,3 Angry,52,36.82,3,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:59,6 Comptent,51,36.81,3,Open Hand,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:19:59,4 disgust,50,36.8,3,None,Sit,affirmative,2,['No Eyes Detected']
04/09/2024 14:20:00,4 disgust,49,36.79,3,None,Sit,affirmative,1,['No Eyes Detected']
04/09/2024 14:20:00,4 disgust,48,36.78,3,None,Sit,affirmative,2,['No Eyes Detected']
04/09/2024 14:20:00,4 disgust,48,36.78,3,None,Sit,affirmative,1,['No Eyes Detected']
